#K short	G0205
#scanned warm
Wavelength (nm)	%T
800	0.012103
801	0.018372
802	0.0085993
803	0.020594
804	0.01109
805	0.013131
806	0.012853
807	0.012366
808	0.013228
809	0.0093437
810	0.014035
811	0.011978
812	0.013596
813	0.011327
814	0.015007
815	0.010683
816	0.0067961
817	0.022908
818	0.010801
819	0.011731
820	0.011947
821	0.015827
822	0.014556
823	0.011878
824	0.014135
825	0.0056508
826	0.013145
827	0.011294
828	0.013059
829	0.015175
830	0.013193
831	0.012018
832	0.014228
833	0.0082036
834	0.0094574
835	0.0084853
836	0.011053
837	0.013998
838	0.013934
839	0.013959
840	0.015087
841	0.01354
842	0.015639
843	0.01517
844	0.016842
845	0.011049
846	0.015183
847	0.0051132
848	0.010045
849	0.011847
850	0.013797
851	0.011595
852	0.01204
853	0.015856
854	0.011689
855	0.012329
856	0.010617
857	0.014064
858	0.0069604
859	0.012382
860	0.018216
861	0.011904
862	0.0083328
863	0.016312
864	0.013038
865	0.013625
866	0.013513
867	0.018415
868	0.01357
869	0.01326
870	0.01432
871	0.010698
872	0.012647
873	0.0189
874	0.016621
875	0.010753
876	0.0096265
877	0.019658
878	0.015303
879	0.015105
880	0.0057133
881	0.012753
882	0.012556
883	0.01499
884	0.006527
885	0.01413
886	0.01662
887	0.0094827
888	0.012621
889	0.0103
890	0.015244
891	0.008137
892	0.0097112
893	0.014178
894	0.016609
895	0.0084986
896	0.013075
897	0.010008
898	0.0089773
899	0.0099059
900	0.012146
901	0.011492
902	0.011436
903	0.017158
904	0.01355
905	0.01448
906	0.018676
907	0.011558
908	0.019374
909	0.010766
910	0.017282
911	0.010913
912	0.013976
913	0.015059
914	0.01511
915	0.011559
916	0.013449
917	0.015077
918	0.015101
919	0.014478
920	0.0082151
921	0.015395
922	0.0064525
923	0.014544
924	0.01028
925	0.015351
926	0.015034
927	0.01242
928	0.0069214
929	0.016104
930	0.016376
931	0.018323
932	0.0087384
933	0.014751
934	0.013119
935	0.010901
936	0.012861
937	0.012783
938	0.013717
939	0.015374
940	0.013297
941	0.011087
942	0.011945
943	0.0093384
944	0.014511
945	0.0077288
946	0.014599
947	0.013193
948	0.010736
949	0.012365
950	0.017625
951	0.010119
952	0.01244
953	0.011162
954	0.012857
955	0.013943
956	0.016482
957	0.010525
958	0.014121
959	0.011398
960	0.011507
961	0.011644
962	0.015979
963	0.013972
964	0.010244
965	0.016248
966	0.013692
967	0.013487
968	0.011736
969	0.017653
970	0.016255
971	0.012224
972	0.015737
973	0.014415
974	0.010168
975	0.011444
976	0.010179
977	0.01278
978	0.013507
979	0.012233
980	0.0056003
981	0.009269
982	0.016106
983	0.0093346
984	0.015269
985	0.013994
986	0.010174
987	0.010384
988	0.018498
989	0.018182
990	0.012731
991	0.010138
992	0.011891
993	0.016143
994	0.012658
995	0.013044
996	0.0071957
997	0.0068763
998	0.011384
999	0.017719
1000	0.013174
1001	0.0055151
1002	0.012733
1003	0.011314
1004	0.012622
1005	0.015716
1006	0.014747
1007	0.019317
1008	0.016481
1009	0.012486
1010	0.0090054
1011	0.012569
1012	0.0090384
1013	0.010731
1014	0.0097744
1015	0.013043
1016	0.010568
1017	0.012665
1018	0.01062
1019	0.017015
1020	0.013254
1021	0.014264
1022	0.0090363
1023	0.021892
1024	0.012636
1025	0.01443
1026	0.010499
1027	0.010426
1028	0.016456
1029	0.011304
1030	0.015685
1031	0.015156
1032	0.011983
1033	0.016009
1034	0.013894
1035	0.010485
1036	0.012557
1037	0.012188
1038	0.011785
1039	0.015125
1040	0.01175
1041	0.013238
1042	0.01384
1043	0.015121
1044	0.0091044
1045	0.014987
1046	0.011033
1047	0.017541
1048	0.013923
1049	0.013416
1050	0.01387
1051	0.01217
1052	0.012655
1053	0.013835
1054	0.013596
1055	0.010426
1056	0.012139
1057	0.013638
1058	0.013389
1059	0.011733
1060	0.014904
1061	0.015025
1062	0.01732
1063	0.012093
1064	0.013085
1065	0.015634
1066	0.010525
1067	0.0099788
1068	0.017272
1069	0.010911
1070	0.013052
1071	0.0092397
1072	0.017721
1073	0.014924
1074	0.017031
1075	0.012609
1076	0.0090626
1077	0.012577
1078	0.0152
1079	0.0084667
1080	0.015678
1081	0.015072
1082	0.014377
1083	0.012927
1084	0.010171
1085	0.01262
1086	0.0063257
1087	0.01295
1088	0.0076755
1089	0.01228
1090	0.014712
1091	0.0074671
1092	0.011404
1093	0.013914
1094	0.016459
1095	0.015155
1096	0.018162
1097	0.010828
1098	0.010172
1099	0.016318
1100	0.014452
1101	0.007208
1102	0.016748
1103	0.013143
1104	0.01083
1105	0.014637
1106	0.015708
1107	0.012725
1108	0.011928
1109	0.012825
1110	0.010829
1111	0.0096845
1112	0.012235
1113	0.011329
1114	0.012646
1115	0.011714
1116	0.013498
1117	0.015646
1118	0.0043396
1119	0.010176
1120	0.010806
1121	0.012163
1122	0.0097681
1123	0.0049943
1124	0.013974
1125	0.017645
1126	0.010165
1127	0.011837
1128	0.014352
1129	0.014748
1130	0.014004
1131	0.014382
1132	0.013038
1133	0.012628
1134	0.010079
1135	0.014119
1136	0.015181
1137	0.010904
1138	0.0085124
1139	0.0080092
1140	0.016735
1141	0.0089089
1142	0.0097566
1143	0.015178
1144	0.016891
1145	0.015635
1146	0.012661
1147	0.019339
